# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.18%  proto_run  proto_run             [.] fleetbench::proto::Message0_M9_M17_M24_M41_M63_M68_M80::ByteSizeLong() const
     0.18%  proto_run  proto_run             [.] fleetbench::proto::Message0_M9_M17_M24_M41_M63_M68_M80_M86_M91_M95_M97::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.17%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::SetAllocated(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.17%  proto_run  libc.so.6             [.] 0x00000000001a6904
     0.17%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::using_sso() const
     0.17%  proto_run  libc.so.6             [.] 0x00000000000a26d2
     0.16%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M11_M14::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.16%  proto_run  libc.so.6             [.] 0x00000000000a3e62
     0.16%  proto_run  proto_run             [.] fleetbench::proto::Message0_Set_1(fleetbench::proto::Message0*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.15%  proto_run  libc.so.6             [.] 0x00000000001a6893
     0.15%  proto_run  proto_run             [.] absl::lts_20240116::log_internal::Check_GEImpl[abi:cxx11](int, int, char const*)
     0.15%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::assert_aligned(void const*)
     0.15%  proto_run  proto_run             [.] absl::lts_20240116::string_view::size() const
     0.15%  proto_run  libc.so.6             [.] 0x00000000000a1729
     0.15%  proto_run  proto_run             [.] std::enable_if<std::is_unsigned<unsigned long>::value, int>::type absl::lts_20240116::countl_zero<unsigned long>(unsigned long)
     0.15%  proto_run  proto_run             [.] fleetbench::proto::Message0_Set_2(fleetbench::proto::Message0*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.15%  proto_run  libc.so.6             [.] 0x00000000001a691b
     0.14%  proto_run  proto_run             [.] absl::lts_20240116::string_view::CheckLengthInternal(unsigned long)
     0.14%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M37_M41::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.14%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::rep()
     0.14%  proto_run  libc.so.6             [.] 0x00000000001a68da
     0.14%  proto_run  libc.so.6             [.] 0x00000000001a68e5
     0.14%  proto_run  proto_run             [.] fleetbench::proto::Message6_Set_1(fleetbench::proto::Message6*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.14%  proto_run  libc.so.6             [.] 0x00000000000a2709
     0.14%  proto_run  proto_run             [.] int std::__exchange<int, int&>(int&, int&)
     0.14%  proto_run  libc.so.6             [.] 0x00000000000a3b0b
     0.14%  proto_run  proto_run             [.] fleetbench::proto::Message5_M10_M11_M25_M34_M53::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.14%  proto_run  proto_run             [.] fleetbench::proto::Message8_Set_2(fleetbench::proto::Message8*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.13%  proto_run  libc.so.6             [.] 0x00000000000a28ca
     0.13%  proto_run  proto_run             [.] absl::lts_20240116::log_internal::Check_LTImpl[abi:cxx11](int, int, char const*)
     0.13%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt32ToArrayWithField<1>(google::protobuf::io::EpsCopyOutputStream*, int, unsigned char*)
     0.13%  proto_run  proto_run             [.] fleetbench::proto::Message7_Set_4(fleetbench::proto::Message7*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.12%  proto_run  proto_run             [.] unsigned char* google::protobuf::io::EpsCopyOutputStream::WriteBytes<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned char*) [clone .constprop.0]
     0.12%  proto_run  proto_run             [.] void google::protobuf::internal::RepeatedPtrFieldBase::Delete<google::protobuf::internal::GenericTypeHandler<google::protobuf::MessageLite> >(void*, google::protobuf::Arena*)
     0.12%  proto_run  proto_run             [.] google::protobuf::RepeatedField<int>::Get(int) const
     0.12%  proto_run  libc.so.6             [.] 0x00000000001a6937
     0.12%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::SInt64Size(google::protobuf::RepeatedField<long> const&)
     0.12%  proto_run  proto_run             [.] fleetbench::proto::Message0_M9_M17_M24_M36_M49_M75::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.12%  proto_run  proto_run             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* absl::lts_20240116::log_internal::Check_LTImpl<int, int>(int const&, int const&, char const*)
     0.12%  proto_run  proto_run             [.] fleetbench::proto::Message5_M10_M11_M25_M34_M53_M68::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.12%  proto_run  proto_run             [.] fleetbench::proto::Message5_M10_M11_M25_M34_M53::ByteSizeLong() const
     0.12%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M36_M40_M51_M58_M59_M63_M65_M67_M69_M70_M71_M72::ByteSizeLong() const
     0.12%  proto_run  libstdc++.so.6.0.30   [.] malloc@plt
     0.11%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::WriteFloatToArray(int, float, unsigned char*)
     0.11%  proto_run  proto_run             [.] fleetbench::proto::Message2_Set_2(fleetbench::proto::Message2*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.11%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::IsDefault() const
     0.11%  proto_run  proto_run             [.] fleetbench::proto::Message6_M1_M15_M23_M28_M42_M44_M50::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.11%  proto_run  libc.so.6             [.] 0x00000000001a6915
     0.11%  proto_run  proto_run             [.] google::protobuf::RepeatedField<int>::elements() const
     0.11%  proto_run  libc.so.6             [.] 0x00000000000a3de8
     0.11%  proto_run  proto_run             [.] fleetbench::proto::Message7_Set_3(fleetbench::proto::Message7*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.10%  proto_run  proto_run             [.] google::protobuf::RepeatedField<int>::GrowNoAnnotate(int, int)
     0.10%  proto_run  libc.so.6             [.] 0x00000000000a3e64
     0.10%  proto_run  libc.so.6             [.] 0x00000000000a4271
     0.10%  proto_run  proto_run             [.] fleetbench::proto::Message0_Set_3(fleetbench::proto::Message0*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.10%  proto_run  proto_run             [.] google::protobuf::MessageLite::AppendToString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const
     0.10%  proto_run  libc.so.6             [.] 0x00000000000a1710
     0.10%  proto_run  libc.so.6             [.] 0x00000000000a18bf
     0.10%  proto_run  proto_run             [.] google::protobuf::internal::TcParser::RepeatedParseMessageAuxImpl<unsigned char, false, true>(google::protobuf::MessageLite*, char const*, google::protobuf::internal::ParseContext*, google::protobuf::internal::TcFieldData, google::protobuf::internal::TcParseTableBase const*, unsigned long)::{lambda(char const*)#1}::operator()(char const*) const
     0.10%  proto_run  libc.so.6             [.] 0x00000000001a6932
     0.09%  proto_run  proto_run             [.] operator delete(void*, unsigned long)@plt
     0.09%  proto_run  libc.so.6             [.] 0x00000000001a6880
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message1_M7_M18_M39_M45_M59_M67_M85_M100::ByteSizeLong() const
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message4_Set_1(fleetbench::proto::Message4*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message3_Set_1(fleetbench::proto::Message3*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message3_M6_M21::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.09%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt64ToArrayWithField<2>(google::protobuf::io::EpsCopyOutputStream*, long, unsigned char*)
